fare_id,price,currency_type,payment_method,transfers
1084-1084,6.30,CAD,1,
1084-1083,7.60,CAD,1,
1083-1084,7.60,CAD,1,
1083-1083,6.30,CAD,1,
1084-97,29.80,CAD,1,
97-1084,29.80,CAD,1,
1083-97,27.80,CAD,1,
97-1083,27.80,CAD,1,
97-97,5.30,CAD,1,
1084-96,29.00,CAD,1,
96-1084,29.00,CAD,1,
1083-96,27.05,CAD,1,
96-1083,27.05,CAD,1,
97-96,5.30,CAD,1,
96-97,5.30,CAD,1,
96-96,5.30,CAD,1,
1084-95,28.50,CAD,1,
95-1084,28.50,CAD,1,
1083-95,26.55,CAD,1,
95-1083,26.55,CAD,1,
97-95,6.30,CAD,1,
95-97,6.30,CAD,1,
96-95,5.30,CAD,1,
95-96,5.30,CAD,1,
95-95,5.30,CAD,1,
1084-94,28.00,CAD,1,
94-1084,28.00,CAD,1,
1083-94,26.00,CAD,1,
94-1083,26.00,CAD,1,
97-94,6.95,CAD,1,
94-97,6.95,CAD,1,
96-94,6.30,CAD,1,
94-96,6.30,CAD,1,
95-94,5.30,CAD,1,
94-95,5.30,CAD,1,
94-94,5.30,CAD,1,
1084-93,27.30,CAD,1,
93-1084,27.30,CAD,1,
1083-93,25.35,CAD,1,
93-1083,25.35,CAD,1,
97-93,8.20,CAD,1,
93-97,8.20,CAD,1,
96-93,7.00,CAD,1,
93-96,7.00,CAD,1,
95-93,6.50,CAD,1,
93-95,6.50,CAD,1,
94-93,5.30,CAD,1,
93-94,5.30,CAD,1,
93-93,5.30,CAD,1,
1084-92,26.55,CAD,1,
92-1084,26.55,CAD,1,
1083-92,24.60,CAD,1,
92-1083,24.60,CAD,1,
97-92,8.80,CAD,1,
92-97,8.80,CAD,1,
96-92,8.05,CAD,1,
92-96,8.05,CAD,1,
95-92,7.10,CAD,1,
92-95,7.10,CAD,1,
94-92,5.65,CAD,1,
92-94,5.65,CAD,1,
93-92,5.30,CAD,1,
92-93,5.30,CAD,1,
92-92,5.30,CAD,1,
1084-91,25.90,CAD,1,
91-1084,25.90,CAD,1,
1083-91,23.95,CAD,1,
91-1083,23.95,CAD,1,
97-91,10.00,CAD,1,
91-97,10.00,CAD,1,
96-91,8.75,CAD,1,
91-96,8.75,CAD,1,
95-91,8.30,CAD,1,
91-95,8.30,CAD,1,
94-91,7.35,CAD,1,
91-94,7.35,CAD,1,
93-91,6.60,CAD,1,
91-93,6.60,CAD,1,
92-91,5.30,CAD,1,
91-92,5.30,CAD,1,
91-91,5.30,CAD,1,
1084-90,26.45,CAD,1,
90-1084,26.45,CAD,1,
1083-90,24.50,CAD,1,
90-1083,24.50,CAD,1,
97-90,11.00,CAD,1,
90-97,11.00,CAD,1,
96-90,10.30,CAD,1,
90-96,10.30,CAD,1,
95-90,9.40,CAD,1,
90-95,9.40,CAD,1,
94-90,8.75,CAD,1,
90-94,8.75,CAD,1,
93-90,8.10,CAD,1,
90-93,8.10,CAD,1,
92-90,6.90,CAD,1,
90-92,6.90,CAD,1,
91-90,6.30,CAD,1,
90-91,6.30,CAD,1,
90-90,5.30,CAD,1,
1084-89,26.45,CAD,1,
89-1084,26.45,CAD,1,
1083-89,24.50,CAD,1,
89-1083,24.50,CAD,1,
97-89,11.05,CAD,1,
89-97,11.05,CAD,1,
96-89,10.30,CAD,1,
89-96,10.30,CAD,1,
95-89,9.40,CAD,1,
89-95,9.40,CAD,1,
94-89,8.80,CAD,1,
89-94,8.80,CAD,1,
93-89,8.10,CAD,1,
89-93,8.10,CAD,1,
92-89,6.90,CAD,1,
89-92,6.90,CAD,1,
91-89,6.30,CAD,1,
89-91,6.30,CAD,1,
90-89,5.30,CAD,1,
89-90,5.30,CAD,1,
89-89,5.30,CAD,1,
1084-88,29.20,CAD,1,
88-1084,29.20,CAD,1,
1083-88,27.25,CAD,1,
88-1083,27.25,CAD,1,
97-88,8.20,CAD,1,
88-97,8.20,CAD,1,
96-88,6.95,CAD,1,
88-96,6.95,CAD,1,
95-88,6.45,CAD,1,
88-95,6.45,CAD,1,
94-88,5.30,CAD,1,
88-94,5.30,CAD,1,
93-88,6.55,CAD,1,
88-93,6.55,CAD,1,
92-88,7.30,CAD,1,
88-92,7.30,CAD,1,
91-88,8.40,CAD,1,
88-91,8.40,CAD,1,
90-88,9.95,CAD,1,
88-90,9.95,CAD,1,
89-88,10.00,CAD,1,
88-89,10.00,CAD,1,
88-88,5.30,CAD,1,
1084-87,27.80,CAD,1,
87-1084,27.80,CAD,1,
1083-87,25.85,CAD,1,
87-1083,25.85,CAD,1,
97-87,10.45,CAD,1,
87-97,10.45,CAD,1,
96-87,9.35,CAD,1,
87-96,9.35,CAD,1,
95-87,8.75,CAD,1,
87-95,8.75,CAD,1,
94-87,8.15,CAD,1,
87-94,8.15,CAD,1,
93-87,7.00,CAD,1,
87-93,7.00,CAD,1,
92-87,8.10,CAD,1,
87-92,8.10,CAD,1,
91-87,8.85,CAD,1,
87-91,8.85,CAD,1,
90-87,11.30,CAD,1,
87-90,11.30,CAD,1,
89-87,11.05,CAD,1,
87-89,11.05,CAD,1,
88-87,5.30,CAD,1,
87-88,5.30,CAD,1,
87-87,5.30,CAD,1,
1084-86,27.15,CAD,1,
86-1084,27.15,CAD,1,
1083-86,25.20,CAD,1,
86-1083,25.20,CAD,1,
97-86,11.05,CAD,1,
86-97,11.05,CAD,1,
96-86,10.30,CAD,1,
86-96,10.30,CAD,1,
95-86,9.50,CAD,1,
86-95,9.50,CAD,1,
94-86,8.05,CAD,1,
86-94,8.05,CAD,1,
93-86,8.70,CAD,1,
86-93,8.70,CAD,1,
92-86,9.40,CAD,1,
86-92,9.40,CAD,1,
91-86,10.95,CAD,1,
86-91,10.95,CAD,1,
90-86,10.20,CAD,1,
86-90,10.20,CAD,1,
89-86,10.05,CAD,1,
86-89,10.05,CAD,1,
88-86,6.65,CAD,1,
86-88,6.65,CAD,1,
87-86,5.30,CAD,1,
86-87,5.30,CAD,1,
86-86,5.30,CAD,1,
1084-85,20.80,CAD,1,
85-1084,20.80,CAD,1,
1083-85,18.75,CAD,1,
85-1083,18.75,CAD,1,
97-85,24.75,CAD,1,
85-97,24.75,CAD,1,
96-85,23.85,CAD,1,
85-96,23.85,CAD,1,
95-85,23.35,CAD,1,
85-95,23.35,CAD,1,
94-85,22.80,CAD,1,
85-94,22.80,CAD,1,
93-85,22.10,CAD,1,
85-93,22.10,CAD,1,
92-85,21.35,CAD,1,
85-92,21.35,CAD,1,
91-85,20.70,CAD,1,
85-91,20.70,CAD,1,
90-85,20.55,CAD,1,
85-90,20.55,CAD,1,
89-85,20.50,CAD,1,
85-89,20.50,CAD,1,
88-85,23.35,CAD,1,
85-88,23.35,CAD,1,
87-85,21.95,CAD,1,
85-87,21.95,CAD,1,
86-85,21.25,CAD,1,
85-86,21.25,CAD,1,
85-85,5.30,CAD,1,
1084-84,6.30,CAD,1,
84-1084,6.30,CAD,1,
1083-84,7.60,CAD,1,
84-1083,7.60,CAD,1,
97-84,26.80,CAD,1,
84-97,26.80,CAD,1,
96-84,26.00,CAD,1,
84-96,26.00,CAD,1,
95-84,25.50,CAD,1,
84-95,25.50,CAD,1,
94-84,25.00,CAD,1,
84-94,25.00,CAD,1,
93-84,24.30,CAD,1,
84-93,24.30,CAD,1,
92-84,23.55,CAD,1,
84-92,23.55,CAD,1,
91-84,22.90,CAD,1,
84-91,22.90,CAD,1,
90-84,23.45,CAD,1,
