stop_id,stop_name,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
YO,York University GO,43.778839,-79.483532,19,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=YO,0,,1
WR,West Harbour GO,43.26745,-79.869441,18,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=WR,0,,1
WH,Whitby GO,43.86484,-78.93818,93,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=WH,0,,1
WE,Weston GO,43.70022,-79.514671,04,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=WE,0,,1
USBT,Union Station Bus Terminal,43.6456261,-79.3783951,02,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=USBT,0,,1
UN,Union Station,43.645195,-79.3806,02,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=UN,0,,1
UI,Unionville GO,43.851689,-79.314332,71,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=UI,0,,1
ST,Stouffville GO,43.970924,-79.249989,74,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=ST,0,,1
SR,Streetsville GO,43.575584,-79.70882,21,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=SR,0,,1
SCTH,St. Catharines GO,43.1476135,-79.2549057,1083,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=SCTH,0,,1
SC,Scarborough GO,43.716945,-79.254722,06,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=SC,0,,1
RU,Rutherford GO,43.838487,-79.498819,61,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=RU,0,,1
RO,Rouge Hill GO,43.780375,-79.130646,09,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=RO,0,,1
RI,Richmond Hill GO,43.874307,-79.426167,61,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=RI,0,,1
PO,Port Credit GO,43.555999,-79.586881,11,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=PO,0,,1
PIN,Pickering GO,43.831576,-79.084594,91,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=PIN,0,,1
PA,Pearson Airport Terminal 1,43.6821671,-79.6132584,31,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=PA,0,,1
OS,Oshawa GO,43.871004,-78.884807,94,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=OS,0,,1
OR,Oriole GO,43.765518,-79.364275,05,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=OR,0,,1
OL,Old Cummer GO,43.793703,-79.371403,05,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=OL,0,,1
OA,Oakville GO,43.455594,-79.682242,13,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=OA,0,,1
NI,Niagara Falls GO,43.108882,-79.063319,1084,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=NI,0,,1
NE,Newmarket GO,44.060426,-79.459289,64,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=NE,0,,1
MR,Markham GO,43.882691,-79.262469,72,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=MR,0,,1
MP,Maple GO,43.859481,-79.506984,61,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=MP,0,,1
MO,Mount Pleasant GO,43.6749763,-79.8221817,34,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=MO,0,,1
ML,Milton GO,43.52364,-79.867172,24,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=ML,0,,1
MK,Milliken GO,43.823227,-79.301785,70,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=MK,0,,1
MJ,Mount Joy GO,43.900521,-79.26313,73,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=MJ,0,,1
MI,Mimico GO,43.616411,-79.497762,03,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=MI,0,,2
ME,Meadowvale GO,43.597566,-79.754328,22,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=ME,0,,1
MA,Malton GO,43.705153,-79.63823,31,https://www.gotransit.com/en/stations-stops-parking/find-a-station-or-stop/results?stationCode=MA,0,,1
