service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
498,20160601,20251231,1,1,1,1,1,1,1
499,20160601,20251231,1,1,1,1,1,1,1
494,20160601,20251231,0,0,0,0,0,0,1
495,20160601,20251231,1,1,1,1,1,1,1
496,20160601,20251231,1,1,1,1,1,1,1
497,20160601,20251231,1,1,1,1,1,1,1
490,20160601,20251231,1,1,1,1,1,0,1
491,20160601,20251231,0,0,0,0,0,1,0
492,20160601,20251231,1,1,1,1,1,1,0
542,20180616,20181021,1,1,1,1,1,1,1
543,20180616,20181021,0,0,1,1,1,1,1
540,20170529,20270705,0,0,0,0,0,1,1
541,20170529,20270705,1,1,1,1,0,1,1
546,20180616,20181021,0,0,1,1,1,1,1
547,20180616,20181021,1,1,1,1,1,1,1
544,20180616,20181021,1,1,1,1,1,1,1
545,20180616,20181021,1,1,1,1,1,1,1
548,20180616,20181021,0,0,1,1,1,1,1
549,20180616,20181021,1,1,1,1,1,1,1
269,20140729,20251231,0,1,0,1,0,1,0
537,20170703,20270702,0,1,0,1,0,0,0
536,20170703,20270630,1,0,1,0,1,0,0
535,20170703,20270702,1,0,1,0,1,0,0
534,20170531,20270609,0,0,1,0,1,0,1
533,20170601,20270609,0,0,1,0,1,0,1
531,20170312,20190429,0,1,0,0,1,0,0
371,20150601,20251231,1,1,1,1,1,0,0
539,20170529,20270705,1,1,1,1,1,0,0
538,20170703,20270702,0,0,0,0,0,0,1
270,20140729,20251231,0,0,1,0,1,0,1
397,20151026,20251231,0,0,0,0,0,0,1
396,20151026,20251231,0,1,0,1,0,0,0
112,20190429,20251231,1,0,0,0,1,0,0
278,20150101,20251231,0,1,0,0,0,0,0
279,20150101,20251231,0,0,0,0,1,0,0
525,20170315,20250101,0,1,0,0,0,0,1
526,20170315,20250101,0,0,0,1,0,1,0
520,20161031,20251231,1,1,1,1,1,1,1
529,20170312,20190429,0,1,0,0,0,1,0
449,20160601,20251231,1,1,1,1,1,1,0
448,20160601,20251231,0,0,0,0,0,1,0
443,20160601,20251231,1,1,1,1,1,1,1
442,20160601,20251231,1,1,1,1,1,0,1
446,20160601,20251231,0,0,0,0,0,1,0
445,20160601,20251231,1,1,1,1,1,0,1
444,20160601,20251231,1,1,1,1,1,1,1
109,20190429,20251231,0,0,0,0,1,0,0
388,20150601,20251231,0,0,0,0,0,1,0
519,20161031,20251231,1,1,1,1,1,1,1
518,20161031,20251231,1,1,1,1,1,0,0
511,20161031,20251231,0,0,0,0,0,1,1
510,20161031,20251231,1,1,1,1,1,0,0
513,20161031,20251231,1,1,1,1,1,1,1
512,20161031,20251231,1,1,1,1,1,0,0
433,20160601,20251231,0,0,0,0,0,1,1
517,20161031,20251231,1,1,1,1,1,1,1
516,20161031,20251231,1,1,1,1,1,1,1
458,20160601,20251231,1,1,1,1,1,1,1
459,20160601,20251231,1,1,1,1,1,1,1
450,20160601,20251231,1,1,1,1,1,1,1
451,20160601,20251231,1,1,1,1,1,0,1
452,20160601,20251231,1,1,1,1,1,1,1
453,20160601,20251231,1,1,1,1,1,1,0
454,20160601,20251231,1,1,1,1,1,1,1
455,20160601,20251231,1,1,1,1,1,0,1
456,20160601,20251231,1,1,1,1,1,1,1
482,20160601,20251231,1,1,1,1,1,0,0
508,20161031,20251231,1,1,1,1,1,0,1
504,20160601,20251231,0,0,1,0,1,0,1
505,20160601,20251231,0,0,1,0,1,0,1
502,20160601,20251231,1,1,1,1,1,1,1
503,20160601,20251231,1,1,1,1,1,1,1
500,20160601,20251231,1,1,1,1,1,1,1
501,20160601,20251231,1,1,1,1,1,1,1
467,20160601,20251231,1,1,1,1,1,0,0
466,20160601,20251231,1,1,1,1,1,1,1
461,20160601,20251231,0,0,0,0,0,1,1
460,20160601,20251231,1,1,1,1,1,0,1
463,20160601,20251231,1,1,1,1,1,0,1
462,20160601,20251231,1,1,1,1,1,1,1
91,20171201,20251231,1,1,1,1,1,0,0
93,20171201,20251231,1,1,1,1,1,1,1
95,20171201,20251231,0,0,0,0,1,0,0
111,20190429,20251231,0,0,1,0,0,0,1
110,20190429,20251231,0,1,0,0,0,0,0
554,20180101,20251231,1,1,1,1,1,1,1
551,20180616,20181021,0,0,1,1,1,1,1
550,20180616,20181021,0,0,1,1,1,1,1
553,20180616,20181021,0,0,1,1,1,1,1
552,20180616,20181021,1,1,1,1,1,1,1
489,20160601,20251231,1,1,1,1,1,1,1
488,20160601,20251231,1,1,1,1,1,1,1
487,20160601,20251231,1,1,1,1,1,0,1
486,20160601,20251231,1,1,1,1,1,1,1
485,20160601,20251231,1,1,1,1,1,0,0
484,20160601,20251231,0,0,0,0,0,1,0
483,20160601,20251231,1,1,1,1,1,0,0
434,20160601,20251231,1,1,1,1,1,0,0
481,20160601,20251231,1,1,1,1,1,1,1
514,20161031,20251231,0,0,0,0,0,0,1
472,20160601,20251231,1,1,1,1,1,1,1
473,20160601,20251231,1,1,1,1,1,1,1
470,20160601,20251231,1,1,1,1,1,1,1
471,20160601,20251231,1,1,1,1,1,0,0
476,20160601,20251231,1,1,1,1,1,1,1
477,20160601,20251231,1,1,1,1,1,1,0
474,20160601,20251231,1,1,1,1,1,0,1
475,20160601,20251231,1,1,1,1,1,1,1
478,20160601,20251231,1,1,1,1,1,1,1
479,20160601,20251231,1,1,1,1,1,0,1
